"desperado";"отчаянный человек";;"dɛspərˈɑːdəʊː";;"[sound:https://audiocdn.lingualeo.com/v2/3/ZGVzcGVyYWRv92a504e6.mp3]";;;"Мой словарь"
"comodo";"удобный";;;;"[sound:https://audiocdn.lingualeo.com/v2/3/Y29tb2Rv7a104f54.mp3]";;;"Мой словарь"
"inlet";"небольшая бухта";;"ˈɪnˌlɛt";;"[sound:https://audiocdn.lingualeo.com/v2/3/aW5sZXQ=021c944f.mp3]";;;"Мой словарь"
"komodo";"варан";;;;"[sound:https://audiocdn.lingualeo.com/v2/3/a29tb2Rv7a2e22a6.mp3]";;;"Мой словарь"
"pickpocket";"карманник";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1534731.png'>";"pˈɪkpɒkɪt";"Your <b>pickpocket</b> friend, the old woman.";"[sound:https://audiocdn.lingualeo.com/v2/3/cGlja3BvY2tldA==a90dbafe.mp3]";"Your {{c1::pickpocket}} friend, the old woman.";;"Мой словарь"
"sagacious";"проницательный";;"səgˈeɪːʃəs";;"[sound:https://audiocdn.lingualeo.com/v2/3/c2FnYWNpb3Vz5884bb29.mp3]";;;"Мой словарь"
"swer";"свернуть";;;;"[sound:https://audiocdn.lingualeo.com/v2/3/c3dlcg==21431e6b.mp3]";;;"Мой словарь"
"reciprocity";"взаимность";;"rɛsɪprˈɒsɪti";"In my view, a splendid example of <b>reciprocity</b>.";"[sound:https://audiocdn.lingualeo.com/v2/3/cmVjaXByb2NpdHk=834be5f2.mp3]";"In my view, a splendid example of {{c1::reciprocity}}.";;"Мой словарь"
"compatibility";"совместимость, сочетаемость";;"kəmˌpætəˈbɪləti";;"[sound:https://audiocdn.lingualeo.com/v2/3/Y29tcGF0aWJpbGl0eQ==46b4a160.mp3]";;;"Мой словарь"
"skit";"скетч. шутка. пародия";;"skˈɪt";"And that concludes our little <b>skit</b>.";"[sound:https://audiocdn.lingualeo.com/v2/3/c2tpdA==c72aead1.mp3]";"And that concludes our little {{c1::skit}}.";;"Мой словарь"
"pittance";"подачка";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3245450.png'>";"pˈɪtn̩s";;"[sound:https://audiocdn.lingualeo.com/v2/3/cGl0dGFuY2U=b4660270.mp3]";;;"Мой словарь"
"pulley";"шкив. ролик";;"pˈʊli";"We need a <b>pulley</b>.";"[sound:https://audiocdn.lingualeo.com/v2/3/cHVsbGV51cb89431.mp3]";"We need a {{c1::pulley}}.";;"Мой словарь"
"undulate";"волнистый";;"ˈʌndjʊlɛɪːt";;"[sound:https://audiocdn.lingualeo.com/v2/3/dW5kdWxhdGU=1e9c15df.mp3]";;;"Мой словарь"
"expenditure";"расход";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3991.png'>";"ɪkˈspɛndəʧər";"- Of course, it will entail a certain <b>expenditure</b>.";"[sound:https://audiocdn.lingualeo.com/v2/3/ZXhwZW5kaXR1cmU=a1822463.mp3]";"- Of course, it will entail a certain {{c1::expenditure}}.";;"Мой словарь"
"centipede";"сороконожка";"<img src='https://contentcdn.lingualeo.com/uploads/picture/66580.png'>";"sˈentɪpid";"You cricket you, it's a <b>centipede</b>, that's all.";"[sound:https://audiocdn.lingualeo.com/v2/3/Y2VudGlwZWRlf7a316d2.mp3]";"You cricket you, it's a {{c1::centipede}}, that's all.";;"Мой словарь"
"countryman";"соотечественник";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2706526.png'>";"kˈʌntrɪmən";"He was a <b>countryman</b> of yours.";"[sound:https://audiocdn.lingualeo.com/v2/3/Y291bnRyeW1hbg==0edf4873.mp3]";"He was a {{c1::countryman}} of yours.";;"Мой словарь"
"mettle";"характер. храбрость";;"mˈetl";;"[sound:https://audiocdn.lingualeo.com/v2/3/bWV0dGxl08eeba5c.mp3]";;;"Мой словарь"
"defile";"осквернить";"<img src='https://contentcdn.lingualeo.com/uploads/picture/146366.png'>";"dɪfˈaɪl";"You can't <b>defile</b> a sanctuary.";"[sound:https://audiocdn.lingualeo.com/v2/3/ZGVmaWxlc7ab7bf3.mp3]";"You can't {{c1::defile}} a sanctuary.";;"Мой словарь"
"brunch";"разг. поздний завтрак";;"brʌnʧ";;"[sound:https://audiocdn.lingualeo.com/v2/3/YnJ1bmNoe1b611bf.mp3]";;;"Мой словарь"
"patio";"исп. внутренний дворик";;"ˈpætiˌoʊ";;"[sound:https://audiocdn.lingualeo.com/v2/3/cGF0aW8=29e2fc54.mp3]";;;"Мой словарь"
"reverb";"отражать";;"rˈɪvrb";;"[sound:https://audiocdn.lingualeo.com/v2/3/cmV2ZXJidac6078a.mp3]";;;"Мой словарь"
"lint";"волокно, частичка";;"lˈɪnt";;"[sound:https://audiocdn.lingualeo.com/v2/3/bGludA==1884b037.mp3]";;;"Мой словарь"
"hoover";"пылесос";;"hˈuːvə";;"[sound:https://audiocdn.lingualeo.com/v2/3/aG9vdmVyd9cfe548.mp3]";;;"Мой словарь"
"rupture";"разрыв";;"ˈrʌpʧə";;"[sound:https://audiocdn.lingualeo.com/v2/3/cnVwdHVyZQ==930c29be.mp3]";;;"Мой словарь"
"perfuse";"перфузия";;"pəfjˈuːʒ";;"[sound:https://audiocdn.lingualeo.com/v2/3/cGVyZnVzZQ==e24aa00a.mp3]";;;"Мой словарь"
"decease";"смерть";;"dɪsˈiːs";;"[sound:https://audiocdn.lingualeo.com/v2/3/ZGVjZWFzZQ==a6177e7c.mp3]";;;"Мой словарь"
"pesky";"амер. разг. надоедливый";;"pˈeski";;"[sound:https://audiocdn.lingualeo.com/v2/3/cGVza3k=c7e8a594.mp3]";;;"Мой словарь"
"inimitable";"неподражаемый";;"ɪnˈɪmɪtəbl";;"[sound:https://audiocdn.lingualeo.com/v2/3/aW5pbWl0YWJsZQ==9207c732.mp3]";;;"Мой словарь"
"crochet";"вязать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/7737.png'>";"ˈkrəʊʃeɪ";"I wish I hadn't learned to <b>crochet</b>.";"[sound:https://audiocdn.lingualeo.com/v2/3/Y3JvY2hldA==8468fcf3.mp3]";"I wish I hadn't learned to {{c1::crochet}}.";;"Мой словарь"
